x,y
3196452.33008101,2366507.72492151
3194201.14080001,2364990.80955577
3175510.12242815,2363519.6623737
3169485.23006609,2363631.92982623
3166772.67595996,2364205.27319771
3163646.77223801,2365438.25217034
3158229.65351982,2366594.36045581
3150897.63456976,2367575.4802529
3145327.71713259,2368864.41769644
3142636.83833461,2369700.03672127
3139330.27067569,2370802.28005736
3133279.94611018,2373694.74511763
3129359.42930679,2376231.32831559
3125414.26634109,2378530.65348247
3118849.96715799,2381252.88126633
3115946.74375248,2382231.76956562
3101568.48045147,2386916.37533245
3093212.59092842,2393456.22193222
3091529.0104952,2395450.21364799
3082719.29392449,2399787.67517383
3068430.80739461,2402028.06868975
3063933.73865036,2402470.34534354
3054464.26532765,2411982.56230699
3048545.71355601,2415833.93430492
3040124.29985025,2411646.71503537
3027026.93268612,2411608.84765705
3006425.30058383,2416187.63206822
2997587.77663008,2417478.45725303
2993980.64082007,2418116.37154522
2982599.67936965,2422032.89134778
2975268.99416138,2424706.72300099
2962915.63677616,2427956.26390799
2954929.02642221,2426956.98031728
2952062.23220865,2428901.02714747
2947364.98073547,2429546.40070609
2944663.2261614,2430157.04042142
2939967.57586191,2432433.45237582
2935187.69216964,2436757.18073267
2932358.36764158,2443038.28469865
2924478.35514413,2454327.25427639
2920501.19737187,2456545.88854947
2911888.62378351,2460702.43251631
2909056.75788317,2461076.49751558
2906131.60488445,2461289.36474281
2893553.46914976,2461648.08467821
2894291.17252523,2466193.05601151
2891771.73313549,2466962.19389182
2877683.8424753,2463539.36735036
2872307.9708444,2458313.23453302
2868727.28048797,2456153.23307251
2861801.12519437,2452902.20565173
2858108.66202153,2451455.56463001
2855550.55872166,2452013.70957311
2852141.99016654,2448525.68965627
2850141.40396707,2442488.15796168
2860922.4788462,2441247.81423996
2858070.48088081,2433201.64358306
2854207.21880461,2429747.65149314
2847126.44497477,2434177.39618591
2830212.82309252,2430582.4391784
2815965.15474515,2431492.14588756
2813583.05040503,2432526.15195455
2810921.01469753,2434299.18776217
2809622.57283379,2435832.63702518
2808511.2857891,2438370.10889318
2806612.20044771,2439327.73229298
2801324.48482082,2438853.46950903
2794648.41650126,2433842.42117874
2790798.56343795,2430483.07022467
2786827.75673246,2427541.65745266
2781477.31215029,2429227.35733203
2777732.52892773,2429192.05151577
2773450.70268742,2427812.57586667
2768994.32353827,2420996.85130584
2766883.67294045,2416941.41749537
2760460.52960875,2403727.64597344
2761530.1251578,2398772.4520453
2763050.18852899,2401984.41432676
2766523.94234566,2403716.29188686
2770163.19143299,2402080.4162065
2772358.52991607,2399048.3253312
2772695.28796228,2388750.63634713
2770786.77458311,2387372.10864305
2772163.19728134,2380459.43420466
2775708.54822152,2373311.77575078
2769543.12693233,2361516.68317956
2771018.24619203,2354626.73218635
2775022.66410174,2356077.91819133
2780727.33286001,2362295.77436036
2784398.04745372,2364997.32273768
2790507.45396086,2368041.4488873
2791089.5399989,2364325.5949165
2792921.08270117,2362651.37860655
2796669.54472358,2362799.57687807
2788552.93173818,2347871.52313359
2783865.02782912,2347510.12028378
2781813.25412393,2349172.09423098
2777040.36097089,2346856.2190686
2782763.36455197,2336085.48550655
2788296.2064597,2335244.09802698
2792616.85723372,2337355.14153837
2793999.4989093,2334313.41289529
2784802.48780442,2329225.46807026
2779142.84217637,2327378.77826735
2777340.50756377,2323128.83739181
2782950.47618176,2320203.40340858
2792319.34554996,2322310.70401647
2783405.92993404,2316178.94804744
2780191.59703504,2314466.93934728
2771476.46673814,2307132.9405594
2770251.68445822,2303469.10345779
2767530.86616913,2288719.73584128
2766909.4164112,2281650.72879856
2770041.31879346,2282217.32415549
